Ticker,Ann. Return,Ann. Vol,Daily Mean,Daily Std,Skewness,Kurtosis,Jarque-Bera,JB p-value
AAPL,0.24495,0.27876,0.00097,0.01756,-0.23533,5.45318,4693.37936,0.0
AMZN,0.23371,0.32657,0.00093,0.02057,0.01225,5.98062,5603.73564,0.0
BA,0.09316,0.35865,0.00037,0.02259,-0.51979,19.46011,59520.73302,0.0
BAC,0.0842,0.33642,0.00033,0.02119,-0.26581,10.06211,15909.71099,0.0
CAT,0.14754,0.2909,0.00059,0.01832,-0.29578,4.14462,2745.51976,0.0
COP,0.09403,0.33809,0.00037,0.0213,-0.51793,17.20908,46581.96426,0.0
CVX,0.07939,0.26913,0.00032,0.01695,-0.90371,26.86381,113620.78881,0.0
GOOGL,0.16732,0.27265,0.00066,0.01718,0.11475,7.45393,8713.77037,0.0
GS,0.09749,0.28641,0.00039,0.01804,-0.25977,8.4227,11158.36281,0.0
JNJ,0.08256,0.16719,0.00033,0.01053,-0.2887,9.38767,13861.828,0.0
JPM,0.14064,0.27744,0.00056,0.01748,-0.07608,9.68026,14687.48106,0.0
KO,0.08284,0.17086,0.00033,0.01076,-0.78032,9.62633,14903.15298,0.0
MS,0.11504,0.33872,0.00046,0.02134,-0.02644,8.58638,11552.72957,0.0
MSFT,0.19396,0.25579,0.00077,0.01611,-0.21049,8.02417,10116.56526,0.0
PEP,0.08994,0.17235,0.00036,0.01086,-0.5123,20.49315,65984.99535,0.0
PFE,0.06469,0.21752,0.00026,0.0137,0.11595,4.56904,3278.50667,0.0
PG,0.09647,0.17082,0.00038,0.01076,-0.04974,11.37014,20260.58386,0.0
UNH,0.20063,0.25429,0.0008,0.01602,-0.35783,10.87005,18596.32176,0.0
XOM,0.06618,0.24966,0.00026,0.01573,-0.16147,7.30752,8383.17601,0.0
