period,strategy,sharpe,dd,calmar,ret
COVID (2020),Static MV (baseline),1.1615497837845574,-0.1414785868911063,4.442752299536427,0.2793230543288582
COVID (2020),Equal Weight (1/N),1.0145306834391368,-0.1778743309560658,2.9226563716781877,0.09429819410502356
COVID (2020),MV + JS+LW Shrinkage,0.8391351395266047,-0.14621310359581394,2.0946918106120296,0.028840812444863646
COVID (2020),Regime Switch (proposed),0.5320925285436213,-0.16296508418833536,1.413962549365615,0.02484073835765286
COVID (2020),Min-Variance (LW),0.8383149108396185,-0.1462230514253234,2.09255866660144,0.0286928494464109
Rate Hikes (2022),Static MV (baseline),-0.11025910258330729,-0.13877405495854245,-0.14150214696842556,-0.080207643089599
Rate Hikes (2022),Equal Weight (1/N),-0.0826925713395325,-0.1095157532158213,0.7241722061784382,-0.043243316287656416
Rate Hikes (2022),MV + JS+LW Shrinkage,0.0060416234703817295,-0.09201372869610489,3.7940963416959117,-0.025105362616655524
Rate Hikes (2022),Regime Switch (proposed),0.44389655728520916,-0.10099651396195578,4.406556333730884,0.03869164701982897
Rate Hikes (2022),Min-Variance (LW),0.005918415495548057,-0.09196838384376399,3.7843914414533275,-0.02501264342696491
GFC Aftermath,Static MV (baseline),1.5549624337925403,-0.12866013752433966,14.254447987976649,0.20608380276561886
GFC Aftermath,Equal Weight (1/N),1.5935069559336674,-0.06218161818741186,7.093254867433508,0.17302714392386323
GFC Aftermath,MV + JS+LW Shrinkage,0.8231495379604834,-0.03503041274881566,2.953913390256331,0.07067656363383314
GFC Aftermath,Regime Switch (proposed),1.7022193204767633,-0.03418752453233215,6.9018250164101715,0.17567961808148486
GFC Aftermath,Min-Variance (LW),0.7898427866227608,-0.035202389409658696,2.8856109689027294,0.06810228664241938
Normal,Static MV (baseline),1.0407534547028028,-0.08761406937698867,4.803022721770371,0.14691032487693534
Normal,Equal Weight (1/N),1.6682765622301434,-0.05297872564766225,6.4115565081807455,0.15798236350220746
Normal,MV + JS+LW Shrinkage,1.2785549843541977,-0.04921846965580489,5.436604730353366,0.10440207876467862
Normal,Regime Switch (proposed),1.2894628882707506,-0.04957565457090856,5.657633084347049,0.1061530468862351
Normal,Min-Variance (LW),1.2822093608570633,-0.049198203638767334,5.469824483687691,0.10493580772159654
